번호,국가_정리,발명명칭,분류,출원인,출원인그룹,출원일자,출원연도,출원월,등록일자,등록연도,출원등록일수차,등록기간범주,청구항개수,청구항범주,IPC,IPC대분류,IPC코드수,CPC,CPC코드수,기술영역,요약,요약길이,복잡도점수,국제공개번호,출원번호
1013,WO,COMBINING GYROMOUSE INPUT AND TOUCH INPUT FOR NAVIGATION IN AN AUGMENTED AND/OR VIRTUAL REALITY ENVIRONMENT,A1,GOOGLE LLC,Google,2016-12-16,2016,12,,,,미등록(A1 등),20,16~30항,G06F3/01|G06F1/16|G06F3/0485|H04N21/41|G06F3/0488|G06F3/0346,"['G06F', 'G06F', 'G06F', 'H04N', 'G06F', 'G06F']",6,G06F1/1694|G06F3/011|G06F3/017|G06F3/04855|G06F2200/1637|G02B27/017|G06F3/0346|G06F3/04883|H04N21/41265|G06F3/04842|G06F3/0485|G06T19/006,12,"['영상/음향전송(AV)', '컴퓨팅/인터페이스(Computing)']","A system for combining a gyromouse input with a touch surface input in an augmented reality (AR) environment and/or a virtual reality (VR) environment, a virtual display of virtual items and/or features may be adjusted in response to movement of the gyromouse combined with touch inputs, or touch and drag inputs, received on a touch surface of the gyromouse. Use of the gyromouse in the AR/VR environment may allow touch screen capabilities to be accurately projected into a three dimensional virtual space, providing a controller having improved functionality and utility in the AR/VR environment, and enhancing the user's experience.",636,10.6,WO2017196395,PCT/US2016/067119
1014,EP,OPTICAL BEAM TILT FOR OFFSET HEAD MOUNTED DISPLAY,B1,Google LLC,Google,2013-03-07,2013,3,2020-08-26,2020,2729,5년 초과,0,추출불가,G02B27/02|G02B26/08|G02B27/01,"['G02B', 'G02B', 'G02B']",3,G02B2027/0123|G02B2027/0178|G02B2027/013|G02B27/0172,4,['광학부품(Optics)'],"An eyepiece for a head mounted display includes a display module, end reflector, and viewing region. The end reflector is disposed at an opposite end of the eyepiece from the display module to reflect the display light back from a forward propagation path to a reverse propagation path. The viewing region is disposed between the display module and the end reflector and includes a partially reflective surface, that passes the display light traveling along the forward propagation path and redirects the display light traveling along the reverse propagation path out of an eye-ward side of the eyepiece along an emission path. The partially reflective surface has a compound folding angle such that the emission path of the display light emitted from the eyepiece is folded along two axes relative to the reverse propagation path between the concave end reflector and the partially reflective surface.",902,2.9,WO2013142086,13764303.7
1015,EP,DUAL-PATH FOVEATED GRAPHICS PIPELINE,B1,Google LLC,Google,2017-09-20,2017,9,2020-09-09,2020,1085,2~3년,2,1~5항,G06F3/147|G02B27/00|G09G5/391,"['G06F', 'G02B', 'G09G']",3,G06F3/147|G09G5/391|G09G2320/0261|G09G2340/02|G09G2340/0407|G09G2340/0457|G02B27/0093|G09G5/003|G09G5/006|G09G2340/12|G09G2350/00|G09G2352/00|G09G2354/00|G06F3/013|G06T1/20|G06T3/40,16,"['디스플레이(Display)', '광학부품(Optics)', '컴퓨팅/인터페이스(Computing)']","A foveated display system includes a rendering device including at least one graphics processing unit (GPU) to render a foveal region and a peripheral region of a first image, wherein the foveal region has a higher resolution than the peripheral region. The system further includes a display device coupled to the rendering device via at least one physical layer. The display device includes a pixel array and a display controller coupled to the pixel array. The display controller includes a scaling component to upscale the first peripheral region to generate a scaled first peripheral region and a blending component to blend the foveal region with the scaled first peripheral region to generate a second image.",714,7.6,WO2018089105,17783618.6
1016,WO,MULTI-PERSPECTIVE EYE-TRACKING FOR VR/AR SYSTEMS,A1,GOOGLE LLC,Google,2018-07-05,2018,7,,,,미등록(A1 등),20,16~30항,G06F3/01|H04N13/383|G02B27/01|G02B27/00|G02B3/08,"['G06F', 'H04N', 'G02B', 'G02B', 'G02B']",5,G02B3/0006|G02B3/08|G02B27/143|G06F3/013|H04N2213/001|G02B2027/0187|H04N13/344|H04N13/383|G02B27/0093|G02B2027/0138|G02B27/0172|G02B2027/014|G06N3/02|G02B27/0961,14,"['영상/음향전송(AV)', '광학부품(Optics)', '컴퓨팅/인터페이스(Computing)']","A display system, such as a head mounted display, tracks a pose of a user's eye based on multiple perspectives of the eye captured via a segmented optics array, such as a lenslet array or Fresnel lens. The display system reflects light (e.g., infra-red light) off each segment of the segmented optics array, and captures an image based on the reflected light. Because of the segmented optics, the captured image represents multiple concurrent perspectives of the user's eye. The display system analyzes the different perspectives and selects a perspective, or combination of perspectives, and based on the selected perspective or combination, identifies a pose of the user's eye.",679,10.8,WO2019089094,PCT/US2018/040896
1017,EP,SYSTEM FOR TRACKING A HANDHELD DEVICE IN VIRTUAL REALITY,B1,Google LLC,Google,2016-06-28,2016,6,2020-01-01,2020,1282,3~5년,115,30항 초과,G06F3/00|G06F3/01|G06F3/03|G06F3/0346|G06T7/73,"['G06F', 'G06F', 'G06F', 'G06F', 'G06T']",5,G06F3/005|G06F3/011|G06F3/0304|G06T2207/10048|G06T2207/30204|G06T2207/30244|G06T7/74|G06F3/0346|G06F3/012|G02B27/0172|G02B2027/0178|G06T19/003|G06T19/006|G06T2200/04,14,"['영상처리(Image)', '컴퓨팅/인터페이스(Computing)']","A system for tracking a first electronic device, such as a handheld smartphone, in a virtual reality environment generated by a second electronic device, such as a head mounted display may include detection, by a camera included in one of the first electronic device or the second electronic device, of at least one visual marker included on the other of the first electronic device or the second electronic device. Features detected within the field of view corresponding to known features of the visual markers may be used to locate and track movement of the first electronic device relative to the second electronic device, so that movement of the second electronic device may be translated into an interaction in a virtual experience generated by the second electronic device.",780,26.7,WO2017007637,16748177.9
1018,EP,COMPACT ARCHITECTURE FOR NEAR-TO-EYE DISPLAY SYSTEM,B1,Google LLC,Google,2015-07-24,2015,7,2019-09-04,2019,1503,3~5년,0,추출불가,G02B27/01|G02B27/00,"['G02B', 'G02B']",2,G02B2027/0187|G02B27/0093|G02B27/0176|G02B27/0172|G02B2027/0123|G02B2027/0178|G02B2027/011|G02B27/01|G02B27/0101|G02B27/017|H04N13/279,11,['광학부품(Optics)'],"An eyepiece body of an eyepiece includes an input lens positioned to couple display light into the eyepiece body along a forward propagation path, a concave end reflector disposed at an opposite end of the eyepiece body from the input lens to reflect the display light back along a reverse propagation path, and a viewing region including a partially reflective surface that redirects at least a portion of the display light traveling along the reverse propagation path out of an eye-ward side of the eyepiece body along an emission path. The partially reflective surface is obliquely angled relative to the eye-ward side and the concave end reflector is titled relative to a top or bottom surface of the eyepiece body to collectively cause the emission path of the display light to be oblique to a normal vector of the eye-ward side in two orthogonal dimensions.",863,4.9,WO2016032653,15834983.7
1019,WO,CORRECTING FIELD DISTORTION IN ELECTROMAGNETIC POSITION TRACKING SYSTEMS,A1,GOOGLE LLC,Google,2018-07-12,2018,7,,,,미등록(A1 등),21,16~30항,H04B5/00|G01S5/00|G01S5/16,"['H04B', 'G01S', 'G01S']",3,G06F3/0346|G06F3/011|H04B5/73|G01S5/0009|G01S5/16|G01R33/02|G01V3/104|G02B27/0172,8,['기타(Other)'],"An electromagnetic (EM) position tracking system [100] identifies the pose of objects based on detected strength values of an EM field [142]. To address distortions in the field, the system employs a pose sensor [114] to provide a second pose of the mobile unit. Under conditions where no distortion in the EM field has been detected, the HMD applies a nominal set of corresponding weights to the EM pose data and the IMU pose data, respectively, and combines the weighted pose value to identify a combined pose of the mobile unit. In response to detecting conditions that indicate distortion in the EM field, the HMD can apply different weights to the EM pose data and IMU pose data to, for example increase the influence of the IMU pose data on the combined pose.",765,7.9,WO2019055113,PCT/US2018/041791
1020,EP,HOVER BEHAVIOR FOR GAZE INTERACTIONS IN VIRTUAL REALITY,B1,Google LLC,Google,2016-08-04,2016,8,2019-12-04,2019,1217,3~5년,10,6~15항,G06F3/01|G06F3/0482,"['G06F', 'G06F']",2,G06F3/011|G06F3/013|G06F3/017|G06T7/70|G06F3/0482|G06F3/0346|G06T19/006,7,['컴퓨팅/인터페이스(Computing)'],"In one general aspect, a system can generate, for a virtual environment, a plurality of non-contact targets, the plurality of non-contact targets each including interactive functionality associated with a virtual object.The system can additionally detect a first non-contact input and a second non-contact input and determine whether the first non-contact input satisfies a predefined threshold associated with at least one non-contact target, and upon determining that the first non-contact input satisfies the predefined threshold, provide for display in a head mounted display, the at least one non-contact target at the location.In response to detecting a second non-contact input at the location, the system can execute, in the virtual environment, the interactive functionality associated with the at least one non-contact target.",836,5.2,WO2017024118,16751116.1
1021,US,Experience Sharing with Region-Of-Interest Selection,A1,Google LLC,Google,2018-01-31,2018,1,,,,미등록(A1 등),1,1~5항,G02B27/01|G06F3/16|G06F3/00|G06F3/01,"['G02B', 'G06F', 'G06F', 'G06F']",4,G02B2027/0138|G02B27/017|G02B2027/0187|G02B2027/0178|G02B2027/0141|G06F3/013|G06F3/0304|G06F3/165|G06F3/147|G09G2350/00|G09G2320/0261|G06F3/167|G06F3/005|G02B2027/014,14,"['광학부품(Optics)', '컴퓨팅/인터페이스(Computing)']","An experience sharing session can be established with a wearable computing device. A field of view of an environment can be provided through a head-mounted display (HMD) of the wearable computing device. The HMD is operable to display a computer-generated image overlaying at least a portion of the view. At least one image of the environment can be captured using a camera associated with the wearable computing device. The wearable computing device can receive an indication of a region of interest within the environment via the experience sharing session. The wearable computing device can display, on the HMD, the indication of the region of interest.",656,7.2,,15885506
1022,EP,SYSTEM FOR TRACKING A HANDHELD DEVICE IN AN AUGMENTED AND/OR VIRTUAL REALITY ENVIRONMENT,B1,Google LLC,Google,2016-06-21,2016,6,2019-11-20,2019,1247,3~5년,0,추출불가,G06F3/01|G06F3/0346|G02B27/01|G06K9/00,"['G06F', 'G06F', 'G02B', 'G06K']",4,G02B27/017|G06F3/011|G06F3/014|G06F3/0346|G02B2027/0187|G02B2027/0178|G02B2027/014|G02B2027/0138|G06V40/20|G06V20/20|G06F18/22|G01C3/08|G06F3/012|G06F3/0304,14,"['광학부품(Optics)', '컴퓨팅/인터페이스(Computing)']","A system for tracking a first electronic device, such as a handheld electronic device, in a virtual reality environment generated by a second electronic device, such as a head mounted display may include the fusion of data collected by sensors of the electronic device with data collected by sensors of the head mounted display, together with data collected by a front facing camera of the electronic device related to the front face of the head mounted display.",462,7,WO2016209819,16741421.8
1023,EP,IDENTIFYING A TARGET OBJECT USING OPTICAL OCCLUSION,B1,Google LLC,Google,2012-07-18,2012,7,2020-02-19,2020,2772,5년 초과,1,1~5항,G02B27/02|G06F3/01,"['G02B', 'G06F']",2,G02B27/017|G06F3/011|G06F3/017|G06F3/0304|G02B2027/0138|G02B2027/014|G06V10/10,7,"['광학부품(Optics)', '컴퓨팅/인터페이스(Computing)']","Methods are apparatuses are described for identifying a target object using optical occlusion. A head-mounted display perceives a characteristic of a reference object. The head-mounted display detects a change of the perceived characteristic of the reference object and makes a determination that a detected object caused the change of the perceived characteristic. In response to making the determination, the head-mounted display identifies the detected object as the target object.",484,3.7,WO2013012960,12814738.6
1024,WO,NEAR-EYE LIQUID CRYSTAL DISPLAY WITH OVERLAPPING LIQUID CRYSTAL SETTLING AND BACKLIGHT ACTIVATION TIMING SCHEME,A1,GOOGLE LLC,Google,2019-03-20,2019,3,,,,미등록(A1 등),20,16~30항,G09G3/36|G09G3/34|G09G3/00,"['G09G', 'G09G', 'G09G']",3,G09G3/001|G09G3/3406|G09G3/3648|G09G2310/0232|G09G2310/0237|G09G2340/0492|G09G2310/08|G09G2310/06|G09G2320/0261|G09G2320/0626,10,['디스플레이(Display)'],A method for driving a liquid crystal display (LCD) panel includes sequentially buffering each row of pixel data of a first display image in a corresponding pixel row of the LCD panel. The method also includes activating a backlight of the LCD panel after the last row of pixel data of the first display image has been buffered at the last pixel row of the LCD panel but before liquid crystal settling of the last pixel row of the LCD panel has completed. The method also may include initiating sequential buffering of each row of pixel data of a second display image in a corresponding pixel row of the LCD panel prior to the liquid crystal settling of the last pixel row of the LCD panel completing.,701,8.4,WO2019203979,PCT/US2019/023116
1025,WO,FREEFORM HEAD MOUNTED DISPLAY,A1,GOOGLE LLC,Google,2017-10-26,2017,10,,,,미등록(A1 등),20,16~30항,G02B27/01|G02B17/08,"['G02B', 'G02B']",2,G02B17/08|G02B17/0852|G02B2027/0107|G02B2027/013|G02B27/0172|G02B2027/0174|G02B2027/0145|G02B27/0176|G02B2027/0178|G02B2027/0112|G02B2027/0132|G02B2027/0152,12,['광학부품(Optics)'],"An optical apparatus for a near-eye display (100) includes a microdisplay (101, 201) to emit image light and one or more field lenses (103, 105, 203, 205) positioned to receive the image light from the microdisplay (101, 201). The one or more field lenses (103, 105, 203, 205) have a combined optical power to form a curved intermediate image (207). A freeform combiner (209), having an eyeward side and an external side, is positioned to receive the image light from the one or more field lenses (103, 105, 203, 205) and reflect the image light. The curved intermediate image (207) is formed between the freeform combiner (209) and the one or more field lenses (103, 105, 203, 205).",683,8.6,WO2018156213,PCT/US2017/058489
1026,EP,METHOD AND APPARATUS FOR A NEAR-TO-EYE DISPLAY,B1,Google LLC,Google,2012-07-11,2012,7,2019-06-19,2019,2534,5년 초과,0,추출불가,G02B27/02|G02B27/01,"['G02B', 'G02B']",2,G02B5/02|G02B5/30|G02B2027/0118|G02B2027/0178|G02B27/0176|G02B27/0172|G02B27/01,7,['광학부품(Optics)'],"An eyepiece for a head mounted display includes an illumination module, an end reflector, a viewing region, and a polarization rotator. The illumination module provides CGI light along a forward propagation path within the eyepiece. The end reflector is disposed at an opposite end of the eyepiece from the illumination module to reflect the CGI light back along a reverse propagation path within the eyepiece. The viewing is disposed between the illumination module and the end reflector and includes an out-coupling polarizing beam splitter (""PBS""). The out-coupling PBS passes the CGI light traveling along the forward propagation path and redirects the CGI light traveling along the reverse propagation path out of an eye-ward side of the eyepiece. The polarization rotator is disposed in the forward and reverse propagation paths between the out-coupling PBS and the end reflector.",886,3.5,,17191686.9
1027,EP,ACTIVE SHUTTER HEAD MOUNTED DISPLAY,A1,Google LLC,Google,2016-05-13,2016,5,,,,미등록(A1 등),0,추출불가,G02B27/22|G02B27/01,"['G02B', 'G02B']",2,H04N13/344|G02B27/017|G02B30/24|H04N13/302|H04N13/354|H04N13/359|H04N13/315|G06T19/006|G02B27/0172,9,['광학부품(Optics)'],"A head mounted display (HMD) device may include a housing coupled to a frame, and a display disposed in the housing. A first lens and a first active shutter may be disposed along a first optical axis in the housing, and a second lens and a second active shutter may be disposed along a second optical axis in the housing. A controller may alternately switch the display, the first active shutter and the second active shutter between a first mode and a second mode. In the first mode the first active shutter may be activated and the second active shutter may be deactivated. In the second mode the first active shutter may be deactivated and the second active shutter may be activated.",686,4.2,WO2016195971,16724256.9
1028,WO,DETECTING USER RANGE OF MOTION FOR VIRTUAL REALITY USER INTERFACES,A1,GOOGLE LLC,Google,2017-07-21,2017,7,,,,미등록(A1 등),20,16~30항,G06F3/01|G06F3/0481|G06T19/00,"['G06F', 'G06F', 'G06T']",3,G06F3/011|G06F3/0346|G06F3/04815|G02B27/017|G06F3/0304,5,"['영상처리(Image)', '컴퓨팅/인터페이스(Computing)']","In one general aspect, a system and method are described to generate a virtual environment for a user. The virtual environment may be generated with a first electronic device that is communicably coupled to a second electronic device. The method may include tracking movement of the second electronic device in an ambient environment, determining, using one or more sensors, a range of motion associated with the movement in the ambient environment, correlating the range of motion associated with the ambient environment to a range of motion associated with the virtual environment, determining, for a plurality of virtual objects, a virtual configuration adapted to the range of motion associated with the virtual environment the plurality of virtual objects according to the virtual configuration, and triggering rendering of the plurality of virtual objects according to the configuration.",893,6.6,WO2018017993,PCT/US2017/043351
1029,WO,TRACKING OF LOCATION AND ORIENTATION OF A VIRTUAL CONTROLLER IN A VIRTUAL REALITY SYSTEM,A1,GOOGLE LLC,Google,2018-09-17,2018,9,,,,미등록(A1 등),18,16~30항,G06F3/01|G06F3/038|G06F3/0346,"['G06F', 'G06F', 'G06F']",3,G06F3/012|G06F3/038|G06F3/0383|G06F3/0346|G06F3/011|G06T19/006,6,['컴퓨팅/인터페이스(Computing)'],"In at least one aspect, a method can include determining a location of a head mounted display (HMD) of a user, defining a location of a joint based on the location of the HMD, defining a segment from the joint to an end of the segment, defining an initial virtual location of a virtual controller within a virtual reality (VR) environment based on a location of the end of the segment, and defining a virtual location and a virtual orientation of the virtual controller within the VR environment, based on the segment and the joint, in response to an orientation movement of a physical controller.",597,6.6,WO2019055929,PCT/US2018/051361
1030,WO,TRACKING OF POSITION AND ORIENTATION OF OBJECTS IN VIRTUAL REALITY SYSTEMS,A1,GOOGLE LLC,Google,2018-04-30,2018,4,,,,미등록(A1 등),12,6~15항,G06F3/03|G06F3/01|G08C23/04|G02B27/01,"['G06F', 'G06F', 'G08C', 'G02B']",4,G06F3/017|G06F3/0304|G06F3/0325|G02B27/017|G08C2201/32|G02B2027/014|G02B2027/0187|H03K19/17728|G06F3/011|G06F3/0346|G02B2027/0132|G02B2027/0138|G02B27/0172,13,"['광학부품(Optics)', '컴퓨팅/인터페이스(Computing)']","Techniques of tracking a hand controller in a VR system involves detecting, by photodiodes in the hand controller, patterns of diffuse radiation generated by diffuse LEDs in the HMD. Such techniques can also include comparing the detected patterns to those simulated offline previously and represented in a lookup table (LUT). By looking up the detected patterns in the LUT, the VR system may determine the position and/or orientation of the hand controller with sub-millimeter accuracy. Some advantages of the improved techniques can be in the simplicity and/or low cost of the components without sacrificing accuracy in deriving the position and orientation of the hand controller.",683,8.6,WO2018204219,PCT/US2018/030095
1031,WO,ANTENNA SYSTEM FOR HEAD MOUNTED DISPLAY DEVICE,A1,GOOGLE LLC,Google,2017-10-30,2017,10,,,,미등록(A1 등),9,6~15항,H01Q1/22|H01Q1/27|H01Q1/48|H01Q9/04|H01Q21/28|G02B27/01,"['H01Q', 'H01Q', 'H01Q', 'H01Q', 'H01Q', 'G02B']",6,H01Q1/2291|H01Q1/48|H01Q9/0407|H01Q9/0421|H01Q21/28|H01Q1/276|G02B27/017|G02B27/0176|H01Q5/30|H04B7/06|H04B7/08|H04W88/06,12,['광학부품(Optics)'],"A head mounted display (HMD) device (102) includes a housing (106) configured to mount on a face of a user, at least one display (112) mounted in the housing, a wireless personal area network (WPAN) antenna (128) mounted in a medial region (138) of the housing, and first and second wireless local area network (WLAN) antennas (122, 124) located at respective lateral peripheries (142, 144) of the housing. The WPAN antenna includes a directional patch antenna comprising a feed line (202), a three-dimensional (3D) ground plane formed as a plurality of conductive sidewalls (208-211) and a ground plane structure (206) disposed at a first end of the sidewalls, wherein the ground plane structure is substantially perpendicular to the plurality of sidewalls. The WPAN antenna also includes a radiating surface (204) disposed at a second end of the sidewalls opposite of the first end, wherein the radiating surface includes a patch antenna structure (212) coupled to the feed line.",981,8.8,WO2018169569,PCT/US2017/059052
1032,EP,COMPACT ILLUMINATION MODULE FOR HEAD MOUNTED DISPLAY,B1,Google LLC,Google,2012-10-26,2012,10,2019-04-03,2019,2350,5년 초과,0,추출불가,G02B7/02|F21V8/00|G02B6/00,"['G02B', 'F21V', 'G02B']",3,G02B5/02|G02B2027/0118|G02B27/0172|G02B6/0028|G02B6/0055|G02B6/0068|G02B6/0043|G02B6/0061,8,['광학부품(Optics)'],An illumination module includes a light source to output lamp light and a mixing light guide having a substantially rectangular cross-section. The mixing light guide includes a spatial homogenization section and an emission section. The spatial homogenization section includes a first end coupled to receive the lamp light having a first cross-section profile from the light source and a second end to deliver the lamp light with a second cross-section profile substantially conforming to the substantially rectangular cross-section of the mixing light guide. The emission section is adjacent to the second end. The emission section includes an emission surface through which the lamp light is emitted with a substantially uniform intensity profile. The emission surface faces a different direction than an input surface of the first end through which the lamp light is received into the mixing light guide.,907,4.4,WO2013085634,12855627.1
1033,WO,MANIPULATING VIRTUAL OBJECTS WITH SIX DEGREE-OF-FREEDOM CONTROLLERS IN AN AUGMENTED AND/OR VIRTUAL REALITY ENVIRONMENT,A1,GOOGLE LLC,Google,2017-08-18,2017,8,,,,미등록(A1 등),20,16~30항,G06F3/01|G06F3/0486|G06F3/0346|G06F3/0484|A63F13/20|G06T19/00,"['G06F', 'G06F', 'G06F', 'G06F', 'A63F', 'G06T']",6,G06F3/017|G06F3/0486|G06T19/006|G06F3/04842|A63F13/428|A63F13/211|G06F3/011|G06F3/0346|G06F3/04815|G06F3/038|G06F3/04845|G06F2203/04806|A63F13/20|G09B9/00|G06F2203/012|A63B2022/0271,16,"['영상처리(Image)', '컴퓨팅/인터페이스(Computing)']","A system for combining six degree of freedom (6DOF) inputs, or positional and orientation inputs, from multiple 6DOF controllers in an augmented reality (AR) environment and/or a virtual reality (VR) environment is provided. In response to the detected movement of multiple controllers, and in particular, rotational movement of the multiple controllers providing user inputs in a virtual reality environment, the detected movements of the multiple controllers may be resolved to a single, common coordinate system to determine intended input to be applied to a selected virtual object in the virtual environment. The ability to resolve these inputs from multiple 6DOF controllers to a common coordinate system may provide a more natural user input mode, thus enhancing the user's experience.",792,12.1,WO2018039069,PCT/US2017/047600
1034,EP,DISPLAY OF BINOCULAR OVERLAPPING IMAGES IN A HEAD MOUNTED DISPLAY,A1,Google LLC,Google,2016-09-23,2016,9,,,,미등록(A1 등),0,추출불가,G02B27/01,['G02B'],1,G02B2027/012|G02B2027/0123|G02B27/0176|G02B5/021|G02B27/0172|G02B2027/0132|G02B2027/0112|G02B2027/0118|G02F1/1313|G02F1/133504|G02F1/133553,11,['광학부품(Optics)'],"A head mounted display (HMD) device may include a housing coupled to a frame, and includes a display device disposed in the housing. A first lens is disposed along a first optical axis in the housing, and a second lens is disposed along a second optical axis in the housing. A divider is positioned between the first lens and the second lens, with a front end portion of the divider positioned adjacent to the display device. The divider may include display capability so that images displayed on the display device may extend onto the divider. The divider may emit diffused light having chrominance and/or luminance levels corresponding to images displayed on the display device. The divider may reflect diffused light from images displayed on the display device. The divider may transmit diffused light from images displayed on the display device. Thus the edges of a binocular overlap region are rendered less obvious.",921,4.4,WO2017078860,16777877.8
1035,EP,OMNISTEREO CAPTURE FOR MOBILE DEVICES,A1,Google LLC,Google,2016-05-26,2016,5,,,,미등록(A1 등),0,추출불가,H04N5/232|H04N1/00|G06T3/40|H04N13/211|G06T1/00|G09G5/14|G02B27/01|H04N13/221,"['H04N', 'H04N', 'G06T', 'H04N', 'G06T', 'G09G', 'G02B', 'H04N']",8,H04N13/221|G06T1/0007|G06T3/4038|H04N1/00183|G06T2207/30244|G06T2200/32|H04N23/64|H04N23/698|H04N23/63|G02B27/017|G09G5/14,11,"['영상/음향전송(AV)', '디스플레이(Display)', '광학부품(Optics)', '영상처리(Image)']","Systems and methods for capturing omnistereo content for a mobile device may include receiving an indication to capture a plurality of images of a scene, capturing the plurality of images using a camera associated with a mobile device and displaying on a screen of the mobile device and during capture, a representation of the plurality of images and presenting a composite image that includes a target capture path and an indicator that provides alignment information corresponding to a source capture path associated with the mobile device during capture of the plurality of images. The system may detect that a portion of the source capture path does not match a target capture path. The system can provide an updated indicator in the screen that may include a prompt to a user of the mobile device to adjust the mobile device to align the source capture path with the target capture path.",892,7.9,,18185736.8
1036,US,Systems and methods for determining biometric information,B1,Google LLC,Google,2017-08-07,2017,8,2019-09-17,2019,771,2~3년,1,1~5항,G06K9/00|A61B3/14|G06T7/13|G06T7/73|G06T7/62|G06K9/48,"['G06K', 'A61B', 'G06T', 'G06T', 'G06T', 'G06K']",6,G06T7/12|G06K9/0061|G06T7/75|G06K9/00604|G06T2207/30201|G06K9/481|G06V40/193|G06V10/44|G06T7/13|G06T7/74|G06T7/62|G06T2207/10028|G06V40/19,13,"['바이오/웨어러블(Bio)', '영상처리(Image)']","Described herein are systems and methods for detecting a gaze direction and/or pupil dimension of an eye based on an image of the eye. Example systems and methods include: (i) capturing an image of an eye; (ii) based on the image, determining a set of edge pixels corresponding with an edge of a pupil of the eye; (iii) selecting at least one subset of pixels from the set of edge pixels; (iv) fitting an ellipse to each subset of pixels; (v) determining a respective confidence value for each fitted ellipse based on a distance between each pixel of the set of pixels and an edge of the respective fitted ellipse; (vi) determining a best-fit ellipse based on the respective confidence value(s); and (vii) determining, based on the best-fit ellipse, at least one of a gaze direction of the eye or a pupil dimension of the eye.",826,7.8,,15670030
1037,US,Integrated thermal door component for head mounted display,B2,GOOGLE LLC,Google,2017-09-29,2017,9,2019-09-03,2019,704,1~2년,1,1~5항,G06F1/16|G06F1/20|H05K7/20|H04B5/00,"['G06F', 'G06F', 'H05K', 'H04B']",4,G02B27/017|H04B5/77|G06F1/163|G06F1/1637|H04B5/0056|G06F1/1656|G06F1/203|H05K7/20963,8,"['전자부품(Electronics)', '컴퓨팅/인터페이스(Computing)']","A head mounted display (HMD) device for supporting virtual reality and augmented reality includes a frame and a thermal door component between which a mobile device may be sandwiched. The thermal door component includes a first portion that is substantially planar for reversibly coupling with a portion of a back surface of the mobile device and a heat sink. The heat sink includes a substantially planar portion coupled to a surface of the first portion of the thermal door component. The heat sink may be made of magnesium or other thermally conductive material. A second portion is coupled to the back of the first portion. An opening, channel, or recess that allows access to the interior of the thermal door component by ambient air to allow the thermal door component to draw heat away from the mobile device and the HMD device.",835,5,,15720128
1038,US,Omnistereo capture and render of panoramic virtual reality content,B2,GOOGLE LLC,Google,2017-12-15,2017,12,2019-08-06,2019,599,1~2년,1,1~5항,H04N13/243|H04N13/344|G02B27/01|H04N13/366|G06T15/20|H04N13/211|H04N13/221|H04N13/111|H04N13/161|H04N13/296|H04N13/239,"['H04N', 'H04N', 'G02B', 'H04N', 'G06T', 'H04N', 'H04N', 'H04N', 'H04N', 'H04N', 'H04N']",11,G02B27/017|H04N13/044|G02B27/0172|G02B2027/011|H04N13/0468|G02B2027/0134|G02B2027/0138|G02B2027/014|G02B2027/0187|G06T15/205|H04N13/344|H04N13/111|H04N13/161|H04N13/211|H04N13/221|H04N13/239|H04N13/243|H04N13/296|H04N13/366,19,"['영상/음향전송(AV)', '광학부품(Optics)', '영상처리(Image)']","Systems and methods are described include defining, at a computing device, a set of images based on captured images, projecting, at the computing device, a portion of the set of images from a planar perspective image plane onto a spherical image plane by recasting a plurality of viewing rays associated with the portion of the set of images from a plurality of viewpoints arranged around a curved path to a viewpoint, determining, at the computing device, a periphery boundary corresponding to the viewpoint and generating updated images by removing pixels that are outside of the periphery boundary, and providing, for display, the updated images within the bounds of the periphery boundary.",693,12.4,,15843366
1039,US,Password management,B2,Google LLC,Google,2018-04-11,2018,4,2019-07-02,2019,447,1~2년,1,1~5항,H04L9/32|G06F21/32|G06F3/01|H04L29/06|H04W12/06|G06F21/36,"['H04L', 'G06F', 'G06F', 'H04L', 'H04W', 'G06F']",6,G06F21/32|G06F3/013|H04L63/0853|H04L63/0861|H04W12/06|G06F21/36|H04L9/3231|H04W12/77|H04W12/33,9,['컴퓨팅/인터페이스(Computing)'],"Methods, apparatus, and computer-readable media are described herein related to biometric authentication. A first computing device can detect a machine-readable code displayed by a second computing device, where the machine-readable code can identify protected information viewable via the second computing device. In response to detecting the machine-readable code, the first computing device can acquire biometric data via one or more biometric sensors associated with the first computing device. Based at least in part on the biometric data, the first computing device can generate an authentication message that includes authentication information and identifies the protected information. The first computing device can then send the authentication message to an authentication server for verification of the authentication information, where verification of the authentication information can allow access to the protected information via the second computing device.",973,6.4,,15950827
1040,US,Vibration transducer connector providing indication of worn state of device,B2,Google LLC,Google,2017-09-29,2017,9,2019-06-11,2019,620,1~2년,1,1~5항,H04R1/00|H04R1/10|H04R1/46|G02C11/00|H04R1/02,"['H04R', 'H04R', 'H04R', 'G02C', 'H04R']",5,G02C11/10|H04R1/028|H04R1/1041|H04R2225/61|H04R2400/03|H04R2460/13|H04R25/603|H04R1/46,8,"['영상/음향전송(AV)', '착용형광학(Wearable)']","Arrangements for bone conduction transducers (BCTs) that couple to wearable devices are described herein. An example BCT couples to a wearable device via a moveable member, and is arranged on the wearable such that the BCT member moves so as to provide an indication as to whether or not the wearable device is being worn.",322,5.5,,15721594
